Adresa;Adresa interní;Městská část;GPS lat;GPS lon;vyska;Typ zdroje;Systém;Popis
Fillova 14;HO11 Fillova 14;Lesná;49.2283189;16.6214236;282.5;HV;HO11FSTR;Stroj. HO11 Fillova
Fillova 14;HO11 Fillova 14;Lesná;49.2283189;16.6214236;282.5;HV;HO11FMT;Měř. HO11 Fillova
Fillova 14;HO11 Fillova 14;Lesná;49.2283189;16.6214236;282.5;HV;HO11_MT;Měř. Fillova
Fleischnerova 1b;PKKB5 Fleischne.1b;Bystrc;49.2179858;16.5112844;302.7;PK;K5FleKOT;Kotle KB5 Fleischnerova
Fleischnerova 1b;PKKB5 Fleischne.1b;Bystrc;49.2179858;16.5112844;302.7;PK;K5FleSTR;Stroj. KB5 Fleischnerova
Foerstrova 1;VS Foerstrova 17;Žabovřesky;49.2175222;16.5769981;235.2;HV;VFo17STR;Strojovna Foerstrova 17
Foerstrova 1;VS Foerstrova 17;Žabovřesky;49.2175222;16.5769981;235.2;HV;VsFo17MT;Měření Foersterova 17
Foerstrova 3;VS Foerstrova 3;Žabovřesky;49.2158522;16.5770186;228.5;HV;VsFo3STR;Strojovna Foerstrova 3
Foerstrova 3;VS Foerstrova 3;Žabovřesky;49.2158522;16.5770186;228.5;HV;VsFo3MT;Měření Foersterova 3
Foerstrova 4;VS Foerstrova 4;Žabovřesky;49.2166058;16.5778956;232.9;HV;VsFo4STR;Strojovna Foerstrova 4
Foerstrova 4;VS Foerstrova 4;Žabovřesky;49.2166058;16.5778956;232.9;HV;VsFo4MT;Měření Foersterova 4
Foerstrova 5;VS Foerstrova 5;Žabovřesky;49.2160528;16.5771881;229.6;HV;VsFo5STR;Strojovna Foerstrova 5
Foerstrova 5;VS Foerstrova 5;Žabovřesky;49.2160528;16.5771881;229.6;HV;VsFo5MT;Měření Foersterova 5
Foerstrova 6;VS Foerstrova 6;Žabovřesky;49.2168042;16.5777369;233.3;HV;VsFo6STR;Strojovna Foerstrova 6
Foerstrova 6;VS Foerstrova 6;Žabovřesky;49.2168042;16.5777369;233.3;HV;VsFo6MT;Měření Foersterova 6
Foerstrova 7;VS Foerstrova 7;Žabovřesky;49.2162447;16.5770200;229.5;HV;VsFo7STR;Strojovna Foerstrova 7
Foerstrova 7;VS Foerstrova 7;Žabovřesky;49.2162447;16.5770200;229.5;HV;VsFo7MT;Měření Foersterova 7
Foerstrova 8;VS Foerstrova 8;Žabovřesky;49.2171347;16.5777300;234.6;HV;VsFo8STR;Strojovna Foerstrova 8
Foerstrova 8;VS Foerstrova 8;Žabovřesky;49.2171347;16.5777300;234.6;HV;VsFo8MT;Měření Foersterova 8
Foerstrova 9;VS Foerstrova 9;Žabovřesky;49.2164447;16.5771931;230.3;HV;VsFo9STR;Strojovna Foerstrova 9
Foerstrova 9;VS Foerstrova 9;Žabovřesky;49.2164447;16.5771931;230.3;HV;VsFo9MT;Měření Foersterova 9
Fričova 1;VS Fričova 1;Žabovřesky;49.2203731;16.5777550;253.8;HV;VsFr1STR;Strojovna Fricova 1
Fričova 1;VS Fričova 1;Žabovřesky;49.2203731;16.5777550;253.8;HV;VsFri1MT;Měření Fricova 1
Fričova 2;VS Fričova 2;Žabovřesky;49.2201806;16.5775869;251.2;HV;VsFr2STR;Strojovna Fricova 2
Fričova 2;VS Fričova 2;Žabovřesky;49.2201806;16.5775869;251.2;HV;VsFri2MT;Měření Fricova 2
Fričova 3;VS Fričova 3;Žabovřesky;49.2201806;16.5775869;251.2;HV;VsFr3STR;Strojovna Fricova 3
Fričova 3;VS Fričova 3;Žabovřesky;49.2201806;16.5775869;251.2;HV;VsFri3MT;Měření Fricova 3
Fričova 4;VS Fričova 4;Žabovřesky;49.2199858;16.5767536;247.6;HV;VsFr4STR;Strojovna Fricova 4
Fričova 4;VS Fričova 4;Žabovřesky;49.2199858;16.5767536;247.6;HV;VsFri4MT;Měření Fricova 4
Fričova 5;VS Fričova 5;Žabovřesky;49.2199858;16.5774189;248.8;HV;VsFr5STR;Strojovna Fricova 5
Fričova 5;VS Fričova 5;Žabovřesky;49.2199858;16.5774189;248.8;HV;VsFri5MT;Měření Fricova 5
Fričova 6;VS Fričova 6;Žabovřesky;49.2197844;16.5769161;246.0;HV;VsFr6STR;Strojovna Fricova 6
Fričova 6;VS Fričova 6;Žabovřesky;49.2197844;16.5769161;246.0;HV;VsFri6MT;Měření Fricova 6
Fričova 7;VS Fričova 7;Žabovřesky;49.2197850;16.5775792;247.4;HV;VsFr7STR;Strojovna Fricova 7
Fričova 7;VS Fričova 7;Žabovřesky;49.2197850;16.5775792;247.4;HV;VsFri7MT;Měření Fricova 7
Fryčajova 145a;Pk Fryčajova;Obřany;49.2352164;16.6431689;243.2;PK;PkFryKOT;Pk Fryčajova kotle
Fryčajova 145a;Pk Fryčajova;Obřany;49.2352164;16.6431689;243.2;PK;PkFrySTR;Pk Fryčajova Strojovna
Fryčajova 145a;Pk Fryčajova;Obřany;49.2352164;16.6431689;243.2;PK;PkFryPS1;PDS Fryčajova 133-145
Fryčajova 145a;Pk Fryčajova;Obřany;49.2352164;16.6431689;243.2;PK;PkFryPS2;PDS Fryčajova 149-157
Fryčajova 145a;Pk Fryčajova;Obřany;49.2352164;16.6431689;243.2;PK;MTFryPS1;Sontex PDS Fryč. 133-145
Fryčajova 145a;Pk Fryčajova;Obřany;49.2352164;16.6431689;243.2;PK;MTFryPS2;Sontex PDS Fryč. 149-157
Gabriely Preissové 1;VS G.Preissové 1;Žabovřesky;49.2202494;16.5735172;247.7;HV;VsGP1STR;Strojovna G.Preissové 1
Gabriely Preissové 1;VS G.Preissové 1;Žabovřesky;49.2202494;16.5735172;247.7;HV;VsGPr1MT;Měření G.Preissové 1
Gabriely Preissové 2;VS G.Preissové 2;Žabovřesky;49.2196281;16.5733203;240.7;HV;VsGP2STR;Strojovna G.Preissové 2
Gabriely Preissové 2;VS G.Preissové 2;Žabovřesky;49.2196281;16.5733203;240.7;HV;VsGPr2MT;Měření G.Preissové 2
Gabriely Preissové 3;VS G.Preissové 3;Žabovřesky;49.2204486;16.5736836;250.6;HV;VsGP3STR;Strojovna G.Preissové 3
Gabriely Preissové 3;VS G.Preissové 3;Žabovřesky;49.2204486;16.5736836;250.6;HV;VsGPr3MT;Měření G.Preissové 3
Gabriely Preissové 4;VS G.Preissové 4;Žabovřesky;49.2197967;16.5738586;242.7;HV;VsGP4STR;Strojovna G.Preissové 4
Gabriely Preissové 4;VS G.Preissové 4;Žabovřesky;49.2197967;16.5738586;242.7;HV;VsGPr4MT;Měření G.Preissové 4
Gabriely Preissové 5;VS G.Preissové 5;Žabovřesky;49.2203347;16.5742747;248.5;HV;VsGP5STR;Strojovna G.Preissové 5
Gabriely Preissové 5;VS G.Preissové 5;Žabovřesky;49.2203347;16.5742747;248.5;HV;VsGPr5MT;Měření G.Preissové 5
Gabriely Preissové 6;VS G.Preissové 6;Žabovřesky;49.2200239;16.5746414;245.8;HV;VsGP6STR;Strojovna G.Preissové 6
Gabriely Preissové 6;VS G.Preissové 6;Žabovřesky;49.2200239;16.5746414;245.8;HV;VsGPr6MT;Měření G.Preissové 6
Gabriely Preissové 7;VS G.Preissové 7;Žabovřesky;49.2205353;16.5744383;250.5;HV;VsGP7STR;Strojovna G.Preissové 7
Gabriely Preissové 7;VS G.Preissové 7;Žabovřesky;49.2205353;16.5744383;250.5;HV;VsGPr7MT;Měření G.Preissové 7
Gabriely Preissové 8;VS G.Preissov.8 MŠ;Žabovřesky;49.2200356;16.5757606;245.9;HV;VsGP8STR;Strojov.G.Preissové 8 MŠ
Gabriely Preissové 8;VS G.Preissov.8 MŠ;Žabovřesky;49.2200356;16.5757606;245.9;HV;VsGPr8MT;Měření G.Preissové 8 MŠ
Galandauerova 1;VSHB3 Galandauero.;Královo Pole;49.2304461;16.5875567;247.7;HV;HB3GaKOT;Kotle HB3 Galandauerova
Galandauerova 1;VSHB3 Galandauero.;Královo Pole;49.2304461;16.5875567;247.7;HV;HB3GaStr;Stroj.HB3 Galandauerova
Galandauerova 1;VSHB3 Galandauero.;Královo Pole;49.2304461;16.5875567;247.7;HV;HB3GaMT;Měř. HB3 Galandauerova
Galandauerova 3;VS  Galandauer. 3;Královo Pole;49.2306319;16.5866728;249.6;HV;VsGa3STR;Strojovna Galandauer. 3
Galandauerova 3;VS  Galandauer. 3;Královo Pole;49.2306319;16.5866728;249.6;HV;VsGal3MT;Měření Galandauer. 3
Habřinova 2a;PKK10 Habřinova 2a;Komín;49.2262167;16.5551842;254.0;PK;K10HaKOT;Kotle K10 Habřinova
Habřinova 2a;PKK10 Habřinova 2a;Komín;49.2262167;16.5551842;254.0;PK;K10HaSTR;Strojovna K10 Habřinova
Halasovo náměstí 4a;HO1 Halasovo nám.;Lesná;49.2283189;16.6214236;282.5;HV;HO1HaKOT;Kotle HO1 Halasovo nám.
Halasovo náměstí 4a;HO1 Halasovo nám.;Lesná;49.2283189;16.6214236;282.5;HV;HO1HaSTR;Stroj. HO1 Halasovo nám.
Halasovo náměstí 4a;HO1 Halasovo nám.;Lesná;49.2283189;16.6214236;282.5;HV;HO1HaMT;Měření HO1 Halasovo nám.
Halasovo náměstí 4a;HO1 Halasovo nám.;Lesná;49.2283189;16.6214236;282.5;HV;HO1HaPS1;PDS HO1 Halas. n. 1-4,6
Halasovo náměstí 4a;HO1 Halasovo nám.;Lesná;49.2283189;16.6214236;282.5;HV;HaPS1MT;Měření HO1 Halas.n.1-4,6
Haškova 4;HO7 Haškova 4;Lesná;49.2330856;16.6278553;314.9;HV;HO7HaSTR;Stroj. HO7 Haškova 4
Herčíkova 17;VSHB2 Herčíkova 17;Královo Pole;49.2307203;16.5848722;254.3;HV;HB2HeStr;Strojovna HB2 Herčíkova
Herčíkova 17;VSHB2 Herčíkova 17;Královo Pole;49.2307203;16.5848722;254.3;HV;HB2HeMT;Měření HB2 Herčíkova
Herčíkova 17;VSHB2 Herčíkova 17;Královo Pole;49.2307203;16.5848722;254.3;HV;PDSZSHer;PDS ZS Herčíkova
Herčíkova 17;VSHB2 Herčíkova 17;Královo Pole;49.2307203;16.5848722;254.3;HV;ZSHerMT;Měření ZS Herčíkova
Herčíkova 17;VSHB2 Herčíkova 17;Královo Pole;49.2307203;16.5848722;254.3;HV;HB2HePS1;PDS Herčíkova 25,21Mš
Herčíkova 17;VSHB2 Herčíkova 17;Královo Pole;49.2307203;16.5848722;254.3;HV;HerPS1MT;Měření Herčíko.5-35,21Mš
Herčíkova 3;VSHB1 Herčíkova 3;Královo Pole;49.2307561;16.5825344;259.6;HV;HB1HeStr;Strojovna HB1 Herčíkova
Herčíkova 3;VSHB1 Herčíkova 3;Královo Pole;49.2307561;16.5825344;259.6;HV;HB1HeMT;Měření HB1 Herčíkova
Herčíkova 3;VSHB1 Herčíkova 3;Královo Pole;49.2307561;16.5825344;259.6;HV;HB1HePS1;PDS Her.1,2,3,4,6
Herčíkova 3;VSHB1 Herčíkova 3;Královo Pole;49.2307561;16.5825344;259.6;HV;HB1HePS2;PDS Her.8,12,14,16,18
Herčíkova 3;VSHB1 Herčíkova 3;Královo Pole;49.2307561;16.5825344;259.6;HV;HePS1MT;Měření Her.1,2,3,4,6
Herčíkova 3;VSHB1 Herčíkova 3;Královo Pole;49.2307561;16.5825344;259.6;HV;HePS2MT;Měření Her.8,12,14,16,18
Heršpická 11c;VS H park;Štýřice;49.174080;16.603519;205.1;HV;VSHpASTR;Str. H park budova A
Heršpická 11c;VS H park;Štýřice;49.174080;16.603519;205.1;HV;VSHpBSTR;Str. H park budova B
Heyrovského 30a;PK1 Heyrovskéh.30a;Bystrc;49.2285367;16.5278314;216.4;PK;K1HeyKOT;Kotle K1 Heyrovského
Heyrovského 30a;PK1 Heyrovskéh.30a;Bystrc;49.2285367;16.5278314;216.4;PK;K1HeySTR;Strojovna K1 Heyrovského
Heyrovského 30a;PK1 Heyrovskéh.30a;Bystrc;49.2285367;16.5278314;216.4;PK;K1HeyPS1;PDS Heyrovského 2-30
Heyrovského 30a;PK1 Heyrovskéh.30a;Bystrc;49.2285367;16.5278314;216.4;PK;HeyPS1MT;Měření Heyrovského 2-30
Heyrovského 9a;PK G Heyrovskéh.9a;Bystrc;49.2271458;16.5286528;216.4;PK;G_HeyKOT;Kotle G Heyrovského
Heyrovského 9a;PK G Heyrovskéh.9a;Bystrc;49.2271458;16.5286528;216.4;PK;G_HeySTR;Strojovna G Heyrovského
Heyrovského 9a;PK G Heyrovskéh.9a;Bystrc;49.2271458;16.5286528;216.4;PK;G_Hey_MT;Měření Heyrovského 1-9
Hodonínská 25;PKK3 Hodonínsk.25;Komárov;49.1774997;16.6228178;198.1;PK;K3HodKOT;Hodoninská Kotelna
Hodonínská 25;PKK3 Hodonínsk.25;Komárov;49.1774997;16.6228178;198.1;PK;K3HodSTR;Hodoninská Strojovna
